Date_reported,Sever_Location,Packet_Size,No._of_Packets,Attack_Packets,Total_Loss(Y)
3/29/2020,Asia,67.0,91,2.0,2
4/5/2020,Asia,183.0,274,3.0,5
4/12/2020,Asia,247.0,521,10.0,15
4/19/2020,Asia,387.0,908,15.0,30
4/26/2020,Asia,422.0,1330,13.0,43
5/3/2020,Asia,841.0,2171,21.0,64
5/10/2020,Asia,1392.0,3563,41.0,105
5/17/2020,Asia,2490.0,6053,48.0,153
5/24/2020,Asia,3813.0,9866,58.0,211
5/31/2020,Asia,4577.0,14443,37.0,248
6/7/2020,Asia,5108.0,19551,79.0,327
6/14/2020,Asia,4551.0,24102,124.0,451
6/21/2020,Asia,4195.0,28297,97.0,548
6/28/2020,Asia,2319.0,30616,155.0,703
7/5/2020,Asia,2056.0,32672,123.0,826
7/12/2020,Asia,1679.0,34351,149.0,975
7/19/2020,Asia,938.0,35289,172.0,1147
7/26/2020,Asia,747.0,36036,99.0,1246
8/2/2020,Asia,674.0,36710,37.0,1283
8/9/2020,Asia,305.0,37015,24.0,1307
8/16/2020,Asia,536.0,37551,63.0,1370
8/23/2020,Asia,343.0,37894,15.0,1385
8/30/2020,Asia,249.0,38143,17.0,1402
9/6/2020,Asia,161.0,38304,7.0,1409
9/13/2020,Asia,337.0,38641,11.0,1420
9/20/2020,Asia,278.0,38919,17.0,1437
9/27/2020,Asia,273.0,39192,16.0,1453
10/4/2020,Asia,105.0,39297,9.0,1462
10/11/2020,Asia,406.0,39703,11.0,1473
10/18/2020,Asia,438.0,40141,15.0,1488
10/25/2020,Asia,627.0,40768,23.0,1511
11/1/2020,Asia,657.0,41425,25.0,1536
11/8/2020,Asia,608.0,42033,20.0,1556
11/15/2020,Asia,1002.0,43035,49.0,1605
11/22/2020,Asia,1468.0,44503,70.0,1675
11/29/2020,Asia,1463.0,45966,77.0,1752
12/6/2020,Asia,1675.0,47641,113.0,1865
12/13/2020,Asia,1311.0,48952,95.0,1960
12/20/2020,Asia,1584.0,50536,94.0,2054
12/27/2020,Asia,1312.0,51848,104.0,2158
1/3/2021,Asia,861.0,52709,63.0,2221
1/10/2021,Asia,780.0,53489,56.0,2277
1/17/2021,Asia,495.0,53984,62.0,2339
1/24/2021,Asia,611.0,54595,39.0,2378
1/31/2021,Asia,428.0,55023,22.0,2400
2/7/2021,Asia,312.0,55335,10.0,2410
2/14/2021,Asia,157.0,55492,17.0,2427
2/21/2021,Asia,112.0,55604,5.0,2432
2/28/2021,Asia,110.0,55714,11.0,2443
3/7/2021,Asia,133.0,55847,6.0,2449
3/14/2021,Asia,138.0,55985,8.0,2457
3/21/2021,Asia,118.0,56103,6.0,2463
3/28/2021,Asia,191.0,56294,7.0,2470
4/4/2021,Asia,382.0,56676,27.0,2497
4/11/2021,Asia,484.0,57160,24.0,2521
4/18/2021,Asia,633.0,57793,18.0,2539
4/25/2021,Asia,1050.0,58843,43.0,2582
5/2/2021,Asia,1279.0,60122,55.0,2637
5/9/2021,Asia,1720.0,61842,49.0,2686
5/16/2021,Asia,1642.0,63484,56.0,2742
5/23/2021,Asia,2244.0,65728,60.0,2802
5/30/2021,Asia,5033.0,70761,117.0,2919
6/6/2021,Asia,8463.0,79224,226.0,3145
6/13/2021,Asia,10637.0,89861,382.0,3527
6/20/2021,Asia,12045.0,101906,595.0,4122
6/27/2021,Asia,12314.0,114220,528.0,4650
7/4/2021,Asia,10528.0,124748,549.0,5199
7/11/2021,Asia,8830.0,133578,525.0,5724
7/18/2021,Asia,7024.0,140602,423.0,6147
7/25/2021,Asia,3269.0,143871,278.0,6425
8/1/2021,Asia,3630.0,147501,312.0,6737
8/8/2021,Asia,2957.0,150458,171.0,6908
8/15/2021,Asia,1575.0,152033,113.0,7021
8/22/2021,Asia,478.0,152511,49.0,7070
8/29/2021,Asia,522.0,153033,39.0,7109
9/5/2021,Asia,390.0,153423,23.0,7132
9/12/2021,Asia,567.0,153990,35.0,7167
9/19/2021,Asia,549.0,154539,32.0,7199
10/3/2021,Asia,242.0,155141,13.0,7212
10/10/2021,Asia,203.0,155344,9.0,7221
10/17/2021,Asia,273.0,155617,17.0,7238
10/24/2021,Asia,201.0,155818,15.0,7253
10/31/2021,Asia,270.0,156088,19.0,7272
11/7/2021,Asia,187.0,156275,12.0,7284
11/14/2021,Asia,237.0,156512,8.0,7292
11/21/2021,Asia,352.0,156864,9.0,7301
11/28/2021,Asia,326.0,157190,7.0,7308
12/5/2021,Asia,241.0,157431,4.0,7312
12/12/2021,Asia,180.0,157611,13.0,7325
12/19/2021,Asia,134.0,157745,8.0,7333
12/26/2021,Asia,157.0,157902,19.0,7352
1/2/2022,Asia,210.0,158112,4.0,7356
1/9/2022,Asia,233.0,158345,13.0,7369
1/16/2022,Asia,333.0,158678,9.0,7378
1/23/2022,Asia,870.0,159548,12.0,7390
1/30/2022,Asia,2118.0,161666,17.0,7407
2/6/2022,Asia,4046.0,165712,18.0,7425
2/13/2022,Asia,4440.0,170152,63.0,7488
2/20/2022,Asia,1778.0,171930,46.0,7534
2/27/2022,Asia,1250.0,173180,54.0,7588
3/6/2022,Asia,1167.0,174347,34.0,7622
3/13/2022,Asia,1715.0,176062,20.0,7642
3/20/2022,Asia,977.0,177039,10.0,7652
3/27/2022,Asia,435.0,177474,8.0,7660
4/3/2022,Asia,331.0,177805,11.0,7671
4/10/2022,Asia,285.0,178090,4.0,7675
4/17/2022,Asia,297.0,178387,1.0,7676
4/24/2022,Asia,261.0,178648,5.0,7681
5/1/2022,Asia,231.0,178879,2.0,7683
5/8/2022,Asia,44.0,178923,1.0,7684
5/15/2022,Asia,320.0,179243,6.0,7690
5/22/2022,Asia,431.0,179674,7.0,7697
5/29/2022,Asia,449.0,180123,4.0,7701
6/5/2022,Asia,495.0,180618,8.0,7709
6/19/2022,Asia,541.0,181574,4.0,7713
6/26/2022,Asia,498.0,182072,4.0,7717
7/3/2022,Asia,571.0,182643,7.0,7724
7/10/2022,Asia,576.0,183219,3.0,7727
7/17/2022,Asia,231.0,183450,3.0,7730
7/24/2022,Asia,1024.0,184474,8.0,7738
7/31/2022,Asia,1106.0,185580,9.0,7747
8/7/2022,Asia,1466.0,187046,5.0,7752
8/14/2022,Asia,1785.0,188831,6.0,7758
8/21/2022,Asia,1604.0,190435,1.0,7759
8/28/2022,Asia,1773.0,192208,15.0,7774
9/4/2022,Asia,1679.0,193887,6.0,7780
9/11/2022,Asia,1760.0,195647,7.0,7787
9/18/2022,Asia,1435.0,197082,7.0,7794
9/25/2022,Asia,1201.0,198283,2.0,7796
10/2/2022,Asia,989.0,199272,3.0,7799
10/9/2022,Asia,927.0,200199,5.0,7804
10/16/2022,Asia,897.0,201096,7.0,7811
10/23/2022,Asia,933.0,202029,7.0,7818
10/30/2022,Asia,805.0,202834,3.0,7821
11/6/2022,Asia,784.0,203618,5.0,7826
11/13/2022,Asia,813.0,204431,3.0,7829
11/20/2022,Asia,581.0,205012,2.0,7831
11/27/2022,Asia,584.0,205596,2.0,7833
12/4/2022,Asia,568.0,206164,1.0,7834
12/11/2022,Asia,381.0,206545,5.0,7839
12/18/2022,Asia,441.0,206986,5.0,7844
12/25/2022,Asia,336.0,207322,1.0,7845
1/1/2023,Asia,257.0,207579,4.0,7849
1/8/2023,Asia,201.0,207780,2.0,7851
1/15/2023,Asia,173.0,207953,4.0,7855
1/22/2023,Asia,144.0,208097,5.0,7860
1/29/2023,Asia,323.0,208420,6.0,7866
2/5/2023,Asia,272.0,208692,8.0,7874
2/12/2023,Asia,164.0,208856,3.0,7877
2/26/2023,Asia,165.0,209251,1.0,7878
3/5/2023,Asia,118.0,209369,1.0,7879
3/12/2023,Asia,141.0,209510,1.0,7880
3/19/2023,Asia,239.0,209749,1.0,7881
3/26/2023,Asia,331.0,210080,1.0,7882
4/2/2023,Asia,548.0,210628,1.0,7883
4/9/2023,Asia,884.0,211512,1.0,7884
4/16/2023,Asia,1100.0,212612,1.0,7885
4/23/2023,Asia,1458.0,214070,2.0,7887
4/30/2023,Asia,810.0,214880,5.0,7892
5/7/2023,Asia,1876.0,216756,5.0,7897
5/14/2023,Asia,1983.0,218739,11.0,7908
5/21/2023,Asia,1428.0,220167,5.0,7913
5/28/2023,Asia,1050.0,221217,2.0,7915
6/4/2023,Asia,778.0,221995,4.0,7919
6/11/2023,Asia,531.0,222526,1.0,7920
6/18/2023,Asia,433.0,222959,2.0,7922
6/25/2023,Asia,197.0,223156,6.0,7928
7/9/2023,Asia,326.0,223606,3.0,7931
7/16/2023,Asia,179.0,223785,1.0,7932
7/23/2023,Asia,245.0,224030,2.0,7934
7/30/2023,Asia,194.0,224224,1.0,7935
8/6/2023,Asia,195.0,224419,3.0,7938
8/13/2023,Asia,242.0,224661,2.0,7940
8/20/2023,Asia,209.0,224870,2.0,7942
9/3/2023,Asia,277.0,225376,2.0,7944
9/10/2023,Asia,216.0,225592,2.0,7946
9/24/2023,Asia,207.0,225999,1.0,7947
10/1/2023,Asia,248.0,226247,3.0,7950
10/8/2023,Asia,309.0,226556,1.0,7951
10/15/2023,Asia,307.0,226863,1.0,7952
10/29/2023,Asia,383.0,227539,1.0,7953
11/5/2023,Asia,353.0,227892,3.0,7956
11/12/2023,Asia,371.0,228263,4.0,7960
11/19/2023,Asia,432.0,228695,1.0,7961
11/26/2023,Asia,280.0,228975,2.0,7963
12/3/2023,Asia,288.0,229263,2.0,7965
12/24/2023,Asia,372.0,230075,5.0,7970
12/31/2023,Asia,300.0,230375,3.0,7973
1/14/2024,Asia,213.0,230855,2.0,7975
1/21/2024,Asia,197.0,231052,1.0,7976
1/28/2024,Asia,258.0,231310,5.0,7981
2/11/2024,Asia,235.0,231756,1.0,7982
2/18/2024,Asia,240.0,231996,1.0,7983
3/3/2024,Asia,278.0,232499,5.0,7988
3/10/2024,Asia,163.0,232662,3.0,7991
3/24/2024,Asia,197.0,233118,2.0,7993
3/31/2024,Asia,222.0,233340,3.0,7996
4/28/2024,Asia,352.0,234576,1.0,7997
5/5/2024,Asia,638.0,235214,1.0,7998
3/15/2020,Europe,33.0,33,1.0,1
3/22/2020,Europe,37.0,70,1.0,2
3/29/2020,Europe,116.0,186,6.0,8
4/5/2020,Europe,118.0,304,9.0,17
4/12/2020,Europe,112.0,416,6.0,23
4/19/2020,Europe,123.0,539,3.0,26
4/26/2020,Europe,139.0,678,1.0,27
5/3/2020,Europe,104.0,782,4.0,31
5/31/2020,Europe,118.0,1099,2.0,33
